id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
E_W_519,1510.00,E2TL_3,5.10,10.00,0.00,2080.00,TL2W_3,750.00,14.29,570.00,1528.50,449.00,1,0.00,464.71,0,tripinfo_E_W_519,standard_car,1.05,
E_W_471,1398.00,E2TL_1,5.10,10.00,0.00,2081.00,TL2W_2,750.00,11.99,683.00,1528.50,547.00,1,0.00,565.99,0,tripinfo_E_W_471,standard_car,0.94,
E_W_479,1410.00,E2TL_1,5.10,10.00,0.00,2081.00,TL2W_0,750.00,12.73,671.00,1528.50,539.00,1,0.00,553.53,0,tripinfo_E_W_479,standard_car,0.94,
W_E_550,1562.00,W2TL_1,5.10,10.00,0.00,2081.00,TL2E_1,750.00,13.11,519.00,1528.50,389.00,1,0.00,404.90,0,tripinfo_W_E_550,standard_car,0.97,
E_W_541,1540.00,E2TL_0,5.10,10.00,0.00,2082.00,TL2W_3,750.00,15.41,542.00,1528.50,424.00,1,0.00,443.55,0,tripinfo_E_W_541,standard_car,1.12,
E_W_497,1449.00,E2TL_2,5.10,10.00,0.00,2083.00,TL2W_0,750.00,12.47,634.00,1528.50,500.00,1,0.00,514.76,0,tripinfo_E_W_497,standard_car,0.93,
W_E_516,1496.00,W2TL_3,5.10,10.00,0.00,2083.00,TL2E_0,750.00,12.68,587.00,1528.50,450.00,1,0.00,465.58,0,tripinfo_W_E_516,standard_car,0.91,
E_W_518,1508.00,E2TL_0,5.10,10.00,0.00,2083.00,TL2W_1,750.00,14.09,575.00,1528.50,450.00,1,0.00,467.91,0,tripinfo_E_W_518,standard_car,1.03,
E_W_531,1536.00,E2TL_0,5.10,10.00,0.00,2083.00,TL2W_2,750.00,13.70,547.00,1528.50,423.00,1,0.00,438.39,0,tripinfo_E_W_531,standard_car,1.02,
W_E_602,1683.00,W2TL_1,5.10,10.00,1.00,2083.00,TL2E_1,750.00,14.26,400.00,1528.50,277.00,1,0.00,294.38,0,tripinfo_W_E_602,standard_car,1.05,
W_E_625,1726.00,W2TL_3,5.10,10.00,0.00,2083.00,TL2E_2,750.00,14.89,357.00,1528.50,238.00,1,0.00,254.78,0,tripinfo_W_E_625,standard_car,1.08,
W_E_532,1537.00,W2TL_1,5.10,10.00,0.00,2084.00,TL2E_0,750.00,13.16,547.00,1528.50,415.00,1,0.00,432.88,0,tripinfo_W_E_532,standard_car,0.97,
E_W_486,1431.00,E2TL_2,5.10,10.00,0.00,2085.00,TL2W_1,750.00,15.64,654.00,1528.50,529.00,1,0.00,564.66,0,tripinfo_E_W_486,standard_car,1.24,
E_W_508,1481.00,E2TL_3,5.10,10.00,0.00,2086.00,TL2W_1,750.00,14.41,605.00,1528.50,477.00,1,0.00,499.74,0,tripinfo_E_W_508,standard_car,1.05,
W_E_638,1752.00,W2TL_0,5.10,10.00,0.00,2087.00,TL2E_3,750.00,14.58,335.00,1528.50,211.00,1,0.00,230.58,0,tripinfo_W_E_638,standard_car,1.05,
W_E_597,1670.00,W2TL_3,5.10,10.00,0.00,2088.00,TL2E_0,750.00,12.75,418.00,1528.50,282.00,1,0.00,298.37,0,tripinfo_W_E_597,standard_car,0.93,
W_E_606,1692.00,W2TL_2,5.10,10.00,0.00,2088.00,TL2E_2,750.00,13.19,396.00,1528.50,263.00,1,0.00,280.10,0,tripinfo_W_E_606,standard_car,0.95,
E_N_524,1521.00,E2TL_3,5.10,10.00,0.00,2089.00,TL2N_1,750.00,13.48,568.00,1503.93,438.00,1,0.00,455.16,0,tripinfo_E_N_524,standard_car,0.97,
W_E_553,1571.00,W2TL_2,5.10,10.00,0.00,2089.00,TL2E_0,750.00,11.65,518.00,1528.50,372.00,1,0.00,386.62,0,tripinfo_W_E_553,standard_car,0.84,
E_N_517,1498.00,E2TL_1,5.10,10.00,0.00,2090.00,TL2N_0,750.00,12.72,592.00,1503.93,456.00,1,0.00,472.91,0,tripinfo_E_N_517,standard_car,0.92,
E_W_538,1540.00,E2TL_3,5.10,10.00,0.00,2090.00,TL2W_0,750.00,12.73,550.00,1528.50,415.00,1,0.00,431.47,0,tripinfo_E_W_538,standard_car,0.93,
E_W_556,1584.00,E2TL_2,5.10,10.00,0.00,2090.00,TL2W_2,750.00,13.57,506.00,1528.50,378.00,1,0.00,395.45,0,tripinfo_E_W_556,standard_car,1.00,
W_S_579,1645.00,W2TL_3,5.10,10.00,0.00,2090.00,TL2S_0,750.00,12.89,445.00,1503.93,310.00,1,0.00,327.40,0,tripinfo_W_S_579,standard_car,0.93,
E_W_583,1649.00,E2TL_0,5.10,10.00,0.00,2090.00,TL2W_3,750.00,14.76,441.00,1528.50,320.00,1,0.00,338.20,0,tripinfo_E_W_583,standard_car,1.07,
W_E_568,1614.00,W2TL_2,5.10,10.00,0.00,2091.00,TL2E_0,750.00,11.50,477.00,1528.50,334.00,1,0.00,347.69,0,tripinfo_W_E_568,standard_car,0.86,
W_E_615,1710.00,W2TL_0,5.10,10.00,0.00,2091.00,TL2E_1,750.00,13.27,381.00,1528.50,251.00,1,0.00,269.79,0,tripinfo_W_E_615,standard_car,1.00,
W_E_696,1908.00,W2TL_0,5.10,10.00,0.00,2091.00,TL2E_3,750.00,14.89,183.00,1528.50,63.00,1,0.00,82.97,0,tripinfo_W_E_696,standard_car,1.10,
E_W_536,1539.00,E2TL_2,5.10,10.00,0.00,2092.00,TL2W_1,750.00,12.90,553.00,1528.50,418.00,2,0.00,435.70,0,tripinfo_E_W_536,standard_car,0.95,
W_E_575,1637.00,W2TL_0,5.10,10.00,0.00,2092.00,TL2E_0,750.00,12.58,455.00,1528.50,319.00,1,0.00,341.65,0,tripinfo_W_E_575,standard_car,0.97,
E_W_623,1724.00,E2TL_1,5.10,10.00,0.00,2092.00,TL2W_3,750.00,15.17,368.00,1528.50,250.00,1,0.00,269.52,0,tripinfo_E_W_623,standard_car,1.13,
W_E_652,1794.00,W2TL_3,5.10,10.00,1.00,2092.00,TL2E_2,750.00,13.12,298.00,1528.50,168.00,1,0.00,184.49,0,tripinfo_W_E_652,standard_car,0.97,
W_E_657,1801.00,W2TL_1,5.10,10.00,0.00,2092.00,TL2E_1,750.00,13.43,291.00,1528.50,166.00,1,0.00,183.91,0,tripinfo_W_E_657,standard_car,1.03,
E_W_459,1376.00,E2TL_3,5.10,10.00,0.00,2093.00,TL2W_0,750.00,10.63,717.00,1528.50,561.00,1,0.00,573.82,0,tripinfo_E_W_459,standard_car,0.77,
E_W_547,1548.00,E2TL_0,5.10,10.00,0.00,2093.00,TL2W_1,750.00,13.62,545.00,1528.50,412.00,1,0.00,434.55,0,tripinfo_E_W_547,standard_car,1.00,
W_S_589,1655.00,W2TL_0,5.10,10.00,0.00,2093.00,TL2S_0,750.00,12.47,438.00,1503.93,301.00,1,0.00,319.60,0,tripinfo_W_S_589,standard_car,0.93,
E_W_543,1544.00,E2TL_3,5.10,10.00,0.00,2094.00,TL2W_2,750.00,12.05,550.00,1528.50,413.00,1,0.00,427.34,0,tripinfo_E_W_543,standard_car,0.90,
W_E_648,1785.00,W2TL_3,5.10,10.00,0.00,2094.00,TL2E_0,750.00,13.02,309.00,1528.50,177.00,1,0.00,193.77,0,tripinfo_W_E_648,standard_car,0.96,
E_W_656,1798.00,E2TL_2,5.10,10.00,0.00,2094.00,TL2W_3,750.00,15.11,296.00,1528.50,178.00,1,0.00,195.55,0,tripinfo_E_W_656,standard_car,1.10,
W_E_675,1843.00,W2TL_0,5.10,10.00,0.00,2094.00,TL2E_2,750.00,15.02,251.00,1528.50,129.00,1,0.00,156.79,0,tripinfo_W_E_675,standard_car,1.18,
W_E_713,1943.00,W2TL_0,5.10,10.00,0.00,2094.00,TL2E_3,750.00,14.98,151.00,1528.50,28.00,1,0.00,48.35,0,tripinfo_W_E_713,standard_car,1.08,
E_W_495,1444.00,E2TL_1,5.10,10.00,0.00,2095.00,TL2W_0,750.00,11.62,651.00,1528.50,502.00,1,0.00,521.70,0,tripinfo_E_W_495,standard_car,0.85,
E_W_557,1584.00,E2TL_3,5.10,10.00,0.00,2095.00,TL2W_1,750.00,13.07,511.00,1528.50,379.00,1,0.00,395.79,0,tripinfo_E_W_557,standard_car,0.96,
E_W_570,1617.00,E2TL_0,5.10,10.00,0.00,2095.00,TL2W_2,750.00,13.22,478.00,1528.50,355.00,1,0.00,389.13,0,tripinfo_E_W_570,standard_car,1.24,
W_E_644,1775.00,W2TL_1,5.10,10.00,0.00,2095.00,TL2E_1,750.00,12.36,320.00,1528.50,181.00,1,0.00,197.87,0,tripinfo_W_E_644,standard_car,0.91,
E_W_545,1546.00,E2TL_1,5.10,10.00,0.00,2096.00,TL2W_1,750.00,13.33,550.00,1528.50,418.00,1,0.00,444.44,0,tripinfo_E_W_545,standard_car,1.04,
W_E_628,1734.00,W2TL_0,5.10,10.00,0.00,2096.00,TL2E_0,750.00,12.48,362.00,1528.50,225.00,1,0.00,242.69,0,tripinfo_W_E_628,standard_car,0.93,
W_E_697,1908.00,W2TL_1,5.10,10.00,0.00,2096.00,TL2E_1,750.00,13.45,188.00,1528.50,59.00,1,0.00,75.71,0,tripinfo_W_E_697,standard_car,0.98,
E_W_529,1534.00,E2TL_0,5.10,10.00,0.00,2097.00,TL2W_0,750.00,13.02,563.00,1528.50,428.00,1,0.00,450.83,0,tripinfo_E_W_529,standard_car,0.99,
E_W_567,1613.00,E2TL_2,5.10,10.00,0.00,2097.00,TL2W_2,750.00,14.07,484.00,1528.50,356.00,1,0.00,380.20,0,tripinfo_E_W_567,standard_car,1.07,
E_N_611,1700.00,E2TL_2,5.10,10.00,0.00,2097.00,TL2N_0,750.00,15.46,397.00,1503.93,277.00,1,0.00,300.16,0,tripinfo_E_N_611,standard_car,1.13,
E_W_670,1823.00,E2TL_3,5.10,10.00,0.00,2097.00,TL2W_3,750.00,14.81,274.00,1528.50,153.00,1,0.00,170.98,0,tripinfo_E_W_670,standard_car,1.07,
E_W_552,1569.00,E2TL_2,5.10,10.00,0.00,2098.00,TL2W_0,750.00,13.05,529.00,1528.50,396.00,1,0.00,421.18,0,tripinfo_E_W_552,standard_car,1.02,
E_W_580,1646.00,E2TL_1,5.10,10.00,0.00,2098.00,TL2W_1,750.00,12.77,452.00,1528.50,320.00,1,0.00,335.95,0,tripinfo_E_W_580,standard_car,0.95,
W_E_642,1769.00,W2TL_2,5.10,10.00,0.00,2098.00,TL2E_0,750.00,13.75,329.00,1528.50,198.00,1,0.00,227.85,0,tripinfo_W_E_642,standard_car,1.10,
W_E_706,1926.00,W2TL_1,5.10,10.00,0.00,2098.00,TL2E_2,750.00,13.70,172.00,1528.50,42.00,1,0.00,62.19,0,tripinfo_W_E_706,standard_car,1.00,
E_W_588,1655.00,E2TL_1,5.10,10.00,0.00,2099.00,TL2W_2,750.00,13.02,444.00,1528.50,311.00,1,0.00,327.31,0,tripinfo_E_W_588,standard_car,0.95,
W_E_650,1793.00,W2TL_0,5.10,10.00,0.00,2099.00,TL2E_0,750.00,13.86,306.00,1528.50,174.00,1,0.00,199.56,0,tripinfo_W_E_650,standard_car,1.04,
